,Unnamed: 0,year,month,day,name,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,days_completed
20,20,2019,09,28,antena3_2019 09 28_afternoon_new,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013247312977910042,0.032356537878513336,0.0,0.017520645633339882,0.0,0.0,0.0969320610165596,0.0,0.10807716101408003,0.0,0.0,0.0,0.0,0.0,0.2222377955913544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545765340328217,0.0,0.0,0.0,0.0,0.0,0.0,0.08075178414583206,0.1628764420747757,0.0,0.0,0.0,0.0,0.0,2019 09 28
21,21,2019,09,29,antena3_2019 09 29_morning_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04289537668228149,0.05439440160989762,0.0,0.015188551507890224,0.0,0.0,0.03023164719343185,0.0,0.04514779895544052,0.0,0.0,0.0,0.0,0.0,0.1350419670343399,0.0,0.0,0.0,0.035923413932323456,0.0,0.02153077721595764,0.0,0.0,0.2600685954093933,0.0,0.0,0.0,0.0,0.0,0.0,0.040732491761446,0.2887558341026306,0.0,0.01783699169754982,0.0,0.0,0.0,2019 09 29
22,22,2019,09,29,antena3_2019 09 29_afternoon_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061096642166376114,0.09077676385641098,0.0,0.016984885558485985,0.0,0.0,0.07599131762981415,0.0,0.05507297068834305,0.0,0.0,0.0,0.0,0.0,0.0978909283876419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26381033658981323,0.0,0.0,0.0,0.0,0.0,0.0,0.033374182879924774,0.2593752145767212,0.0,0.027028920128941536,0.0,0.0,0.0,2019 09 29
23,23,2019,10,02,antena3_2019 10 02_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03493823856115341,0.0,0.3219864368438721,0.0,0.0,0.0,0.018445495516061783,0.0,0.014455204829573631,0.0,0.0,0.0,0.0,0.0,0.0839700922369957,0.0,0.0,0.0,0.05110364407300949,0.0,0.0,0.0,0.0,0.03076368384063244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35123878717422485,0.0,0.07092265039682387,0.0,0.0,0.0,2019 10 02
24,24,2019,10,03,antena3_2019 10 03_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06844315677881241,0.0,0.0,0.04114164039492607,0.0,0.0,0.12305453419685365,0.0,0.022825948894023892,0.0,0.0,0.0,0.0,0.0,0.21073246002197266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09712991118431093,0.0,0.0,0.0,0.0,0.0,0.0,0.03877221792936325,0.3661370873451233,0.0,0.0,0.0,0.0,0.0,2019 10 03
25,25,2019,10,04,antena3_2019 10 04_morning_new,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09003507345914841,0.0,0.018348753452301025,0.0,0.0,0.0,0.13556334376335144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09292905777692796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948258340358734,0.0,0.0,0.0,0.0,0.0,0.0,0.06216562539339065,0.453839898109436,0.0,0.025944635272026062,0.0,0.0,0.0,2019 10 04
26,26,2019,10,04,antena3_2019 10 04_afternoon_new,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168919265270233,0.06174704432487488,0.012280106544494629,0.0,0.0,0.0,0.17999766767024994,0.0,0.12481917440891264,0.0,0.0,0.0,0.0,0.0,0.11695719510316847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14563050866127014,0.0,0.0,0.0,0.0,0.0,0.0,0.025397233664989468,0.2355120480060577,0.0,0.011790490709245205,0.0,0.0,0.0,2019 10 04
27,27,2019,10,05,antena3_2019 10 05_morning_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061614125967025764,0.023106403648853302,0.0,0.0,0.0,0.0,0.05313323810696602,0.0,0.07920825481414795,0.0,0.0,0.0,0.0,0.0,0.12213702499866486,0.0,0.0,0.0,0.031860917806625366,0.0,0.015903480350971222,0.0,0.0,0.2667759656906128,0.0,0.0,0.0,0.0,0.0,0.0,0.044725757092237466,0.2508675158023834,0.0,0.02778876200318336,0.0,0.0,0.0,2019 10 05
28,28,2019,10,06,antena3_2019 10 06_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059710592031478875,0.0,0.01542928069829941,0.011259803548455238,0.0,0.038917411118745804,0.0,0.0,0.037899579852819436,0.0,0.2727298438549042,0.0,0.0,0.0,0.0,0.0,0.09833049774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07249854505062102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666033148765564,0.0,0.0,0.0,0.0,0.0,2019 10 06
29,29,2019,10,07,antena3_2019 10 07_morning_new,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01932838000357151,0.05736422911286354,0.0,0.0,0.0,0.0,0.02443413995206356,0.0,0.3269312679767609,0.0,0.01649158447980881,0.0,0.0,0.0,0.16627508401870728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07795482128858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29074931144714355,0.0,0.0,0.0,0.0,0.0,2019 10 07
