,index,clusters,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,channel,day,year
2700,1_spa_2018 06 19_afternoon_new,1.0,0.0,0.3446989953517914,0.0,0.02844380773603916,0.05157637223601341,0.17830288410186768,0.0,0.0,0.0,0.029118560254573822,0.051569078117609024,0.022705117240548134,0.0,0.0,0.0,0.013066181913018227,0.0,0.011422217823565006,0.0,0.0,0.062321361154317856,0.0,0.0,0.20556174218654633,0.0,0.0,0.0,1_spa,2018 06 19,2018
2701,1_spa_2018 06 21_afternoon_new,1.0,0.0,0.3291597366333008,0.0,0.03491883724927902,0.011854078620672226,0.1573348492383957,0.0,0.0,0.0,0.06053627282381058,0.0,0.0379830002784729,0.0,0.0,0.0,0.014991190284490585,0.0,0.0,0.0,0.0,0.08055222779512405,0.0,0.0,0.2514190673828125,0.0,0.0,0.0,1_spa,2018 06 21,2018
2702,1_spa_2018 06 24_morning_new,1.0,0.0,0.4370863437652588,0.0,0.042420659214258194,0.04752145707607269,0.11826079338788986,0.0,0.0,0.0,0.10060331970453262,0.019544826820492744,0.05100060999393463,0.0,0.0,0.0,0.029130462557077408,0.0,0.0,0.0,0.0,0.0747782364487648,0.0,0.0,0.0735049843788147,0.0,0.0,0.0,1_spa,2018 06 24,2018
2703,1_spa_2018 06 24_afternoon_new,1.0,0.0,0.4472077786922455,0.0,0.037443920969963074,0.04677193611860275,0.13328595459461212,0.0,0.0,0.0,0.0389581061899662,0.023794297128915787,0.0521555058658123,0.0,0.0,0.0,0.017698055133223534,0.01702752895653248,0.0,0.0,0.0,0.0791451707482338,0.0,0.0,0.09818756580352783,0.0,0.0,0.0,1_spa,2018 06 24,2018
2704,1_spa_2018 06 29_afternoon_new,1.0,0.0,0.440582811832428,0.0,0.020764190703630447,0.01716439053416252,0.13550998270511627,0.0,0.0,0.0,0.012216267175972462,0.015121226198971272,0.020223364233970642,0.0,0.0,0.0,0.017504150047898293,0.0,0.0,0.0,0.0,0.09363735467195511,0.0,0.0,0.21249152719974518,0.0,0.0,0.0,1_spa,2018 06 29,2018
2705,1_spa_2018 07 01_afternoon_new,1.0,0.0,0.4114592373371124,0.0,0.11417041718959808,0.015783794224262238,0.07920845597982407,0.0,0.0,0.0,0.054709866642951965,0.015066540800035,0.0829654112458229,0.0,0.0,0.0,0.04359280690550804,0.0,0.0,0.0,0.0,0.09186828136444092,0.0,0.0,0.07525056600570679,0.0,0.0,0.0,1_spa,2018 07 01,2018
2706,1_spa_2018 07 02_afternoon_new,4.0,0.0,0.025786207988858223,0.0,0.0,0.07273474335670471,0.11873601377010345,0.0,0.0,0.0,0.017965497449040413,0.1888757050037384,0.04384177550673485,0.0,0.0,0.0,0.012950129806995392,0.0,0.0,0.0,0.0,0.03444232419133186,0.0,0.0,0.476346492767334,0.0,0.0,0.0,1_spa,2018 07 02,2018
2707,1_spa_2018 07 07_morning_new,1.0,0.0,0.3521013557910919,0.0,0.03194673731923103,0.04057437926530838,0.13125932216644287,0.0,0.0,0.0,0.11553920805454254,0.030223416164517403,0.011907047592103481,0.0,0.0,0.0,0.08488572388887405,0.01018824428319931,0.0,0.0,0.0,0.05050437152385712,0.0,0.0,0.1366540938615799,0.0,0.0,0.0,1_spa,2018 07 07,2018
2708,1_spa_2018 07 08_morning_new,14.0,0.0,0.4383515417575836,0.0,0.0447520948946476,0.04469511657953262,0.1201905757188797,0.0,0.0,0.0,0.14151906967163086,0.016223518177866936,0.022271031513810158,0.0,0.0,0.0,0.03927111253142357,0.03219491243362427,0.0,0.0,0.0,0.04133407771587372,0.0,0.0,0.054665882140398026,0.0,0.0,0.0,1_spa,2018 07 08,2018
2709,1_spa_2018 07 13_morning_new,8.0,0.0,0.027377165853977203,0.0,0.0,0.1298767775297165,0.6191656589508057,0.0,0.0,0.0,0.013149218633770943,0.10739230364561081,0.0,0.0,0.0,0.0,0.01164619904011488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07563857734203339,0.0,0.0,0.0,1_spa,2018 07 13,2018
