,name,year,month,day,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,days_completed
21,antena3_2019 09 29_morning_new,2019,09,29,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688028559088707,0.0,0.0,0.0,0.0,0.0,0.414568305015564,0.028764417394995686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12930946052074432,0.0,0.048026852309703834,0.0,0.0,0.0,0.050794877111911774,0.0,0.0,0.01792031154036522,0.19410887360572812,0.0,0.0391337014734745,0.0,2019 09 29
22,antena3_2019 09 29_afternoon_new,2019,09,29,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13285842537879944,0.0,0.0,0.0,0.0,0.0,0.2718483507633209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984834372997284,0.0,0.0798758938908577,0.0,0.0,0.0,0.06345213204622269,0.0,0.0,0.014070778153836729,0.18061208724975586,0.0,0.05783480405807495,0.0,2019 09 29
23,antena3_2019 10 02_morning_new,2019,10,02,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06576982140541078,0.0,0.0,0.0,0.0,0.0,0.0579737201333046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6925556659698486,0.0,0.010169439017772676,0.0,0.0,0.0,0.02885255962610245,0.0,0.0,0.06555408239364624,0.07192596793174744,0.0,0.0,0.0,2019 10 02
24,antena3_2019 10 03_morning_new,2019,10,03,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07072240859270096,0.0,0.0,0.0,0.0,0.0,0.2229981869459152,0.013482692651450634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05624086782336235,0.0,0.07366811484098433,0.0,0.0,0.0,0.10812091082334517,0.0,0.0,0.0,0.4492804408073425,0.0,0.0,0.0,2019 10 03
25,antena3_2019 10 04_morning_new,2019,10,04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04221919178962708,0.0,0.0,0.0,0.0,0.0,0.21105794608592987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186008930206299,0.0,0.0235365629196167,0.0,0.0,0.0,0.11762996017932892,0.0,0.0,0.0,0.274065375328064,0.0,0.0,0.0,2019 10 04
26,antena3_2019 10 04_afternoon_new,2019,10,04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17978166043758392,0.0,0.0,0.0,0.0,0.0,0.1417953073978424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14574889838695526,0.0,0.16831503808498385,0.0,0.0,0.0,0.10230153799057007,0.0,0.0,0.0,0.21744965016841888,0.0,0.031000161543488506,0.0,2019 10 04
27,antena3_2019 10 05_morning_new,2019,10,05,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13035622239112854,0.0,0.0,0.0,0.0,0.0,0.3204546868801117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13570758700370789,0.0,0.09428942948579787,0.0,0.0,0.0,0.08904135972261429,0.0,0.0,0.03958512470126152,0.16587230563163755,0.0,0.012343129143118858,0.0,2019 10 05
28,antena3_2019 10 06_morning_new,2019,10,06,1.0,0.013137103989720345,0.0,0.0,0.0,0.0,0.0,0.0,0.3145189583301544,0.0,0.0,0.0,0.0,0.0,0.13235720992088318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11766685545444487,0.0,0.04183000326156616,0.0,0.0,0.0,0.02447929792106152,0.0,0.0,0.017363561317324642,0.3333789110183716,0.0,0.0,0.0,2019 10 06
29,antena3_2019 10 07_morning_new,2019,10,07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01772242970764637,0.3567204773426056,0.0,0.01946854591369629,0.0,0.0,0.0,0.11839484423398973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15887776017189026,0.0,0.022757062688469887,0.0,0.0,0.0,0.03717238456010818,0.0,0.0,0.0,0.21329191327095032,0.0,0.04896054044365883,0.0,2019 10 07
30,antena3_2019 10 07_afternoon_new,2019,10,07,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794199943542479,0.0,0.0,0.0,0.0,0.0,0.033656995743513114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17305418848991394,0.0,0.0,0.0,0.038997087627649314,0.0,0.0,0.0,0.01797808706760406,0.0,0.037096638232469566,0.0,2019 10 07
